 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.19647E+01       0.19134E-02       0.11309E+00       0.27576E+01      -0.11399E+00       0.17681E+01
      0      1       0.32524E+00      -0.24428E-02      -0.21439E+00       0.19346E+01       0.30353E+00      -0.11187E+00
      0      1      -0.26854E-01       0.70713E-03      -0.89739E-01       0.13711E+01      -0.82331E-01       0.22478E+01
      0      1       0.10810E+01      -0.52043E-03       0.28901E-01       0.10332E+01       0.19844E-01      -0.25846E+00
      0      1      -0.58517E+00       0.26421E-02       0.10377E+00       0.26114E+01       0.10632E+00      -0.92231E+00
      0      1      -0.47260E+00       0.32152E-02       0.29909E+00      -0.22894E+01      -0.23821E+00      -0.72873E+00
      0      1      -0.28167E+01       0.35214E-02       0.23867E+00       0.54041E+01       0.40393E-01       0.45241E+00
      0      1       0.86128E+00      -0.32683E-02      -0.18606E+00      -0.14664E+01      -0.10930E+00       0.13295E+01
      0      1       0.12178E+01      -0.22162E-02      -0.98928E-01      -0.62997E+01       0.93045E-01       0.14734E+01
      0      1      -0.24789E+00       0.22220E-02       0.22012E+00       0.11218E-02      -0.33481E+00      -0.13447E+01
      0      1      -0.22726E+01       0.38013E-02       0.22351E+00       0.54064E+00       0.35773E-01      -0.10400E+00
      0      1       0.75671E+00      -0.26754E-02      -0.59649E-01      -0.39993E+00      -0.40980E-01      -0.82308E+00
      0      1       0.54318E+00      -0.24892E-02      -0.18624E+00       0.23211E+00      -0.26523E+00       0.10471E+01
      0      1      -0.48456E+00       0.10097E-02      -0.16950E+00       0.34106E+01      -0.14599E+00      -0.47117E+00
      0      1       0.40447E+00       0.33704E-03       0.26972E+00      -0.41739E+01       0.25492E+00       0.13757E+01
      0      1       0.65154E+00      -0.27669E-02      -0.28815E+00       0.14172E+01       0.15390E+00       0.47325E+00
      0      1       0.17590E+01      -0.22966E-02       0.12185E-02      -0.57806E+01       0.90051E-01      -0.14339E+01
      0      1      -0.16605E+01       0.29375E-02       0.15008E+00       0.61007E+01      -0.18385E+00      -0.71705E+00
      0      1       0.54931E+00       0.19894E-02       0.19679E+00      -0.36710E+01       0.59811E-01       0.41011E+00
      0      1      -0.20599E+01       0.17743E-02      -0.67803E-02       0.63414E+01       0.77943E-01      -0.14123E+01
      0      1      -0.23700E+01       0.21544E-02       0.56818E-01       0.27402E+01       0.86260E-01       0.64272E+00
      0      1      -0.74082E+00       0.19231E-02      -0.38650E-01       0.51549E+01       0.13077E+00      -0.13201E+01
      0      1       0.52329E+00       0.39598E-03       0.12419E+00       0.21715E+01       0.22203E+00       0.17396E+01
      0      1       0.12248E+00      -0.11487E-02       0.16035E-01      -0.20936E+01       0.36678E-01       0.24446E+00
      0      1       0.16666E+01      -0.36037E-02      -0.24894E+00      -0.49134E+01      -0.13923E+00       0.64735E-01
      0      1      -0.93105E+00       0.35588E-02       0.44209E+00       0.53047E-01       0.15278E+00       0.10671E+01
      0      1      -0.53566E+00       0.67680E-03       0.10845E+00       0.35914E+01       0.91299E-02      -0.19341E+01
      0      1       0.17231E+01      -0.17546E-02       0.27246E-01      -0.22991E+01       0.23486E+00       0.15624E+01
      0      1      -0.41946E+00       0.18293E-02       0.30789E+00      -0.14139E+01       0.16601E-01       0.17766E+00
      0      1       0.12116E+00       0.11502E-02       0.14244E+00      -0.16725E+01       0.25927E+00      -0.47333E+00
      0      1       0.13622E+01      -0.78300E-03       0.17364E+00      -0.80432E+01       0.27617E-01      -0.86946E-01
      0      1       0.14331E+00       0.13657E-02       0.16503E+00      -0.18519E+01       0.19583E+00       0.12015E+00
      0      1       0.12534E+00      -0.54344E-03      -0.11288E+00       0.10444E+01      -0.44556E+00      -0.82401E+00
      0      1       0.17556E+01      -0.34330E-03       0.10863E+00      -0.45639E+01       0.19392E+00      -0.17309E+00
      0      1      -0.82394E+00       0.18861E-02      -0.57904E-01       0.17697E+01       0.20656E+00       0.10223E+01
      0      1       0.27746E+00       0.17645E-02       0.28159E+00      -0.11977E+01      -0.33533E+00      -0.12288E+01
      0      1      -0.61642E+00       0.33002E-02       0.28342E+00       0.24376E+00       0.14809E-01      -0.64301E+00
      0      1      -0.34595E+00       0.12940E-03      -0.13157E+00       0.53682E+01      -0.48841E-01      -0.93261E+00
      0      1       0.32333E+00       0.24177E-02       0.27536E+00      -0.82099E+00       0.21465E-01       0.14587E+01
