 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.53359E+00       0.15501E-02      -0.15880E+01      -0.10936E+02      -0.22917E+00      -0.18485E+01
      0      1      -0.64228E-01       0.13337E-02       0.26565E+01       0.18289E+02      -0.78061E-01      -0.36286E+00
      0      1      -0.13282E+01       0.25845E-02      -0.29092E+01      -0.20032E+02      -0.28993E+00      -0.61187E+00
      0      1      -0.16302E+00      -0.25892E-02      -0.19437E+01      -0.13384E+02      -0.30113E+00      -0.76493E+00
      0      1      -0.30773E+00      -0.13709E-02       0.20862E+01       0.14366E+02       0.45012E+00       0.23893E+01
      0      1      -0.99898E+00       0.35941E-02       0.15284E+01       0.10520E+02      -0.36085E+00      -0.98312E+00
      0      1       0.59034E-01       0.10608E-02       0.14523E+01       0.99962E+01       0.12072E-01       0.13985E+01
      0      1      -0.63716E+00      -0.47511E-02      -0.58995E+00      -0.40614E+01      -0.18841E+00      -0.35164E-01
      0      1      -0.49532E+00       0.35254E-02      -0.16347E+01      -0.11254E+02      -0.29430E+00      -0.16116E+00
      0      1      -0.54366E+00      -0.74446E-03       0.38819E+00       0.26718E+01       0.25941E+00       0.24558E+00
      0      1      -0.60745E+00       0.24487E-02      -0.12145E+01      -0.83627E+01      -0.71771E+00      -0.25842E+01
      0      1       0.10965E+00       0.26763E-03       0.17730E+01       0.12203E+02       0.29879E+00       0.79388E+00
      0      1      -0.13075E+00      -0.25996E-02       0.14545E+01       0.10010E+02       0.24401E-01       0.73443E+00
      0      1      -0.52554E+00      -0.32202E-02      -0.12664E+00      -0.87339E+00      -0.30026E+00      -0.12202E+01
      0      1      -0.91830E+00       0.12490E-02      -0.28741E+01      -0.19790E+02      -0.65130E+00      -0.24904E+01
      0      1      -0.17947E+00      -0.12363E-05      -0.85639E+00      -0.58983E+01       0.28478E-01       0.23775E+00
      0      1       0.36320E+00      -0.38735E-02       0.28513E+01       0.19631E+02       0.36920E+00       0.24731E+01
      0      1       0.39249E-01       0.42978E-03       0.38642E+00       0.26647E+01      -0.96096E-01      -0.79341E+00
      0      1      -0.52445E+00      -0.17544E-02      -0.20473E+01      -0.14097E+02       0.39491E+00       0.18124E+01
      0      1       0.29784E-01       0.37830E-02      -0.77114E+00      -0.53085E+01       0.31503E+00       0.12378E+01
      0      1       0.31882E+00       0.56786E-04       0.14375E+01       0.98973E+01       0.80272E+00       0.28276E+01
      0      1      -0.41546E+00      -0.14340E-02       0.52894E+00       0.36397E+01       0.17493E+00       0.20451E+01
      0      1      -0.12708E+01       0.29489E-02       0.17747E+01       0.12218E+02       0.38017E+00       0.15955E+01
      0      1       0.54458E+00       0.34268E-02      -0.65175E+00      -0.44889E+01       0.46382E+00       0.10772E+01
      0      1       0.48221E+00       0.16847E-02       0.29783E+01       0.20505E+02       0.65614E+00       0.23579E+01
      0      1      -0.12105E+01      -0.28974E-03       0.53550E+00       0.36887E+01       0.93174E-01       0.10181E+01
      0      1      -0.18317E+00       0.29656E-02       0.21393E+01       0.14729E+02      -0.67284E+00      -0.13180E+01
